rating_id,dog_id,rater_dog_id,trick_id,rating_date,overall_paw_rating,tail_wags,treat_goals,rating_status
1,82,100,15,2024-04-18,1,Chased the goal like a squirrel,Increase spin velocity,Pending
2,15,68,11,2025-02-18,4,Chased the goal like a squirrel,Increase spin velocity,In Review
3,4,1,3,2024-04-10,4,Needs more belly rub motivation,Work on roll-over finesse,Pending
4,95,77,1,2024-12-31,5,Outstanding pawformance!,Increase spin velocity,In Review
5,36,42,15,2024-10-14,2,Wag-tastic!,Improve bark volume control,Pending
6,32,63,20,2024-01-01,4,Needs more belly rub motivation,Increase spin velocity,In Review
7,29,3,19,2024-03-20,4,Outstanding pawformance!,Improve bark volume control,Pending
8,18,15,4,2024-10-14,4,Could use more tail wags,Improve bark volume control,Completed
9,95,47,3,2023-05-01,2,Needs more belly rub motivation,Work on roll-over finesse,In Review
10,14,40,18,2023-06-12,2,Could use more tail wags,Add flair to the high five,Pending
11,87,31,7,2024-04-11,1,Outstanding pawformance!,Improve bark volume control,Pending
12,95,8,17,2023-09-17,1,Outstanding pawformance!,Increase spin velocity,Completed
13,70,31,9,2024-09-26,4,Outstanding pawformance!,Increase spin velocity,In Review
14,12,73,5,2025-01-06,2,Outstanding pawformance!,Improve bark volume control,In Review
15,76,11,12,2024-07-10,2,Chased the goal like a squirrel,Increase spin velocity,In Review
16,55,11,3,2024-11-21,5,Outstanding pawformance!,Nail the treat balance on nose,Completed
17,5,94,8,2024-09-04,4,Chased the goal like a squirrel,Work on roll-over finesse,In Review
18,4,63,12,2024-08-27,1,Wag-tastic!,Increase spin velocity,In Review
19,12,9,10,2023-05-22,5,Chased the goal like a squirrel,Work on roll-over finesse,Pending
20,28,98,6,2024-03-19,2,Could use more tail wags,Improve bark volume control,Pending
21,30,69,15,2023-10-01,1,Wag-tastic!,Improve bark volume control,Completed
22,65,99,18,2023-10-03,4,Could use more tail wags,Improve bark volume control,In Review
23,78,17,10,2023-04-08,2,Needs more belly rub motivation,Work on roll-over finesse,Pending
24,4,17,20,2024-10-25,4,Needs more belly rub motivation,Increase spin velocity,Completed
25,72,85,17,2023-08-30,5,Chased the goal like a squirrel,Nail the treat balance on nose,In Review
26,26,61,1,2024-02-12,5,Could use more tail wags,Work on roll-over finesse,Completed
27,92,71,18,2023-09-12,5,Needs more belly rub motivation,Nail the treat balance on nose,In Review
28,84,22,10,2025-01-19,3,Needs more belly rub motivation,Increase spin velocity,Pending
29,90,34,4,2023-11-12,4,Needs more belly rub motivation,Increase spin velocity,In Review
30,70,68,5,2024-03-13,5,Wag-tastic!,Work on roll-over finesse,In Review
31,54,78,9,2024-09-05,5,Wag-tastic!,Add flair to the high five,In Review
32,29,55,4,2023-11-28,4,Outstanding pawformance!,Nail the treat balance on nose,In Review
33,58,28,4,2023-07-02,5,Could use more tail wags,Improve bark volume control,Completed
34,76,70,18,2024-11-17,4,Needs more belly rub motivation,Nail the treat balance on nose,In Review
35,36,97,5,2023-08-11,2,Could use more tail wags,Increase spin velocity,Completed
36,1,94,9,2024-04-09,4,Outstanding pawformance!,Increase spin velocity,In Review
37,98,89,10,2024-10-30,4,Chased the goal like a squirrel,Work on roll-over finesse,In Review
38,21,26,20,2024-06-17,3,Outstanding pawformance!,Add flair to the high five,Completed
39,90,92,7,2025-03-12,2,Needs more belly rub motivation,Improve bark volume control,Pending
40,55,40,11,2023-11-19,3,Chased the goal like a squirrel,Nail the treat balance on nose,Pending
41,44,52,7,2024-03-02,5,Chased the goal like a squirrel,Add flair to the high five,Completed
42,36,86,9,2024-04-08,4,Outstanding pawformance!,Improve bark volume control,In Review
43,20,84,17,2023-06-19,2,Needs more belly rub motivation,Increase spin velocity,Pending
44,28,48,16,2024-03-06,3,Chased the goal like a squirrel,Increase spin velocity,In Review
45,98,57,9,2023-09-20,4,Outstanding pawformance!,Work on roll-over finesse,Completed
46,44,67,2,2024-03-08,1,Outstanding pawformance!,Work on roll-over finesse,Completed
47,14,58,3,2024-07-31,3,Needs more belly rub motivation,Nail the treat balance on nose,Pending
48,12,16,14,2024-02-15,2,Outstanding pawformance!,Add flair to the high five,Pending
49,49,32,9,2024-05-12,3,Outstanding pawformance!,Add flair to the high five,In Review
50,13,29,2,2025-01-04,3,Outstanding pawformance!,Improve bark volume control,Pending
51,46,9,1,2024-10-28,3,Could use more tail wags,Nail the treat balance on nose,Completed
52,45,44,11,2023-09-24,5,Wag-tastic!,Work on roll-over finesse,Completed
53,78,3,5,2024-12-17,1,Could use more tail wags,Nail the treat balance on nose,Completed
54,34,76,9,2023-10-19,2,Outstanding pawformance!,Increase spin velocity,In Review
55,6,71,6,2024-11-17,2,Wag-tastic!,Work on roll-over finesse,Pending
