performance_id,dog_id,trick_id,proficiency_level,last_practiced
1,82,17,Needs More Treats,2024-11-12
2,15,1,Needs More Treats,2024-12-10
3,4,20,Tail-wagging Good,2024-08-15
4,95,11,So-So,2023-05-10
5,36,16,Needs More Treats,2024-01-24
6,32,1,So-So,2023-12-19
7,29,4,Needs More Treats,2024-02-29
8,18,12,Tail-wagging Good,2025-01-24
9,95,10,Fetching Fantastic,2023-04-06
10,14,8,Needs More Treats,2023-07-30
11,87,2,Paw-some,2023-07-26
12,95,8,Paw-some,2024-08-16
13,70,19,Fetching Fantastic,2023-12-11
14,12,3,Needs More Treats,2025-02-08
15,76,3,Paw-some,2023-04-05
16,55,16,Paw-some,2024-02-07
17,5,3,Needs More Treats,2023-05-16
18,4,18,So-So,2025-03-14
19,12,5,Needs More Treats,2024-04-15
20,28,5,So-So,2024-10-27
21,30,16,Fetching Fantastic,2023-08-25
22,65,18,Tail-wagging Good,2023-11-17
23,78,6,Fetching Fantastic,2023-06-29
24,4,9,Tail-wagging Good,2023-12-15
25,72,17,Paw-some,2024-07-06
26,26,20,Paw-some,2023-06-05
27,92,14,Paw-some,2024-09-25
28,84,7,So-So,2024-05-04
29,90,18,Tail-wagging Good,2023-08-21
30,70,7,Paw-some,2023-10-19
31,54,10,Needs More Treats,2024-09-15
32,29,13,Tail-wagging Good,2024-01-03
33,58,12,Tail-wagging Good,2023-06-15
34,76,15,So-So,2023-05-11
35,36,17,Fetching Fantastic,2024-05-12
36,1,15,So-So,2025-02-09
37,98,4,Paw-some,2024-05-28
38,21,8,Needs More Treats,2024-09-17
39,90,8,Needs More Treats,2024-07-31
40,55,3,Paw-some,2023-09-14
41,44,11,Needs More Treats,2024-12-21
42,36,1,So-So,2024-06-20
43,20,19,So-So,2025-01-05
44,28,18,Paw-some,2024-02-25
45,98,8,Needs More Treats,2024-10-28
46,44,19,Tail-wagging Good,2023-04-16
47,14,8,Fetching Fantastic,2024-01-12
48,12,1,Tail-wagging Good,2023-11-29
49,49,3,So-So,2023-12-25
50,13,2,So-So,2024-07-07
51,46,8,So-So,2024-09-22
52,45,3,So-So,2024-07-17
53,78,2,Fetching Fantastic,2024-05-09
54,34,11,Paw-some,2024-07-23
55,6,3,So-So,2024-10-05
56,94,17,Needs More Treats,2025-03-06
57,59,8,Fetching Fantastic,2024-06-28
58,69,9,So-So,2025-01-26
59,16,16,Needs More Treats,2024-03-01
60,49,7,So-So,2023-07-20
61,11,18,Paw-some,2023-08-14
62,71,5,Fetching Fantastic,2024-06-17
63,38,19,Paw-some,2023-11-20
64,81,19,Fetching Fantastic,2023-04-25
65,80,16,So-So,2025-03-29
66,47,8,So-So,2023-11-19
67,74,16,Fetching Fantastic,2024-12-15
68,25,14,Needs More Treats,2023-04-12
69,91,7,Needs More Treats,2024-11-24
70,9,4,So-So,2023-10-28
71,6,4,So-So,2024-08-24
72,85,14,Paw-some,2023-08-07
73,30,12,So-So,2024-01-16
74,99,14,Fetching Fantastic,2023-12-25
75,38,14,Needs More Treats,2024-10-30
76,11,15,Needs More Treats,2023-04-25
77,30,2,Paw-some,2024-07-19
78,13,4,Needs More Treats,2024-05-25
79,49,2,Needs More Treats,2023-04-15
80,36,13,Tail-wagging Good,2024-06-24
81,59,11,Fetching Fantastic,2024-01-04
82,82,4,Tail-wagging Good,2023-07-01
83,47,8,Needs More Treats,2024-12-03
84,21,7,Paw-some,2024-10-04
85,48,7,Paw-some,2025-01-23
86,46,18,Needs More Treats,2024-11-23
87,27,15,So-So,2023-12-29
88,86,5,Tail-wagging Good,2024-08-05
89,35,14,Needs More Treats,2023-12-04
90,90,6,Paw-some,2023-07-22
91,88,9,Paw-some,2023-12-02
92,83,15,Tail-wagging Good,2024-12-16
93,10,8,Fetching Fantastic,2024-10-14
94,78,3,Needs More Treats,2023-04-27
95,82,15,Needs More Treats,2023-08-02
96,22,18,Fetching Fantastic,2024-08-04
97,69,4,Tail-wagging Good,2024-06-07
98,94,2,Tail-wagging Good,2024-11-21
99,32,18,Paw-some,2023-08-03
100,21,1,Fetching Fantastic,2024-02-03
101,60,3,Tail-wagging Good,2024-05-21
102,49,8,So-So,2025-03-05
103,35,6,Needs More Treats,2023-09-01
104,82,14,Paw-some,2024-07-23
105,89,16,Fetching Fantastic,2023-06-26
106,72,16,Paw-some,2024-11-14
107,29,7,Tail-wagging Good,2023-06-16
108,88,13,Tail-wagging Good,2024-05-13
109,42,2,So-So,2025-03-20
110,99,6,Needs More Treats,2023-06-26
111,100,13,Fetching Fantastic,2023-10-04
112,8,1,Paw-some,2024-09-03
113,30,13,Needs More Treats,2024-04-24
114,5,9,Tail-wagging Good,2024-08-07
115,41,15,Needs More Treats,2023-08-07
116,52,10,Paw-some,2024-01-02
117,35,14,Needs More Treats,2023-06-23
118,9,18,Tail-wagging Good,2024-09-04
119,28,16,Needs More Treats,2024-09-24
120,73,5,Fetching Fantastic,2024-07-13
121,92,7,Needs More Treats,2024-03-14
122,41,10,Fetching Fantastic,2024-07-17
123,28,7,Needs More Treats,2024-08-15
124,84,2,Tail-wagging Good,2024-11-07
125,64,19,So-So,2024-11-20
126,51,18,So-So,2025-03-28
127,83,2,Fetching Fantastic,2024-08-28
128,59,11,Fetching Fantastic,2025-01-15
129,19,2,So-So,2024-12-01
130,34,2,Tail-wagging Good,2025-03-27
131,18,19,Tail-wagging Good,2024-12-01
132,32,16,Needs More Treats,2025-02-08
133,96,17,Fetching Fantastic,2023-08-09
134,72,17,Tail-wagging Good,2024-06-19
135,69,6,Paw-some,2024-01-22
136,34,2,Needs More Treats,2023-10-06
137,96,17,Needs More Treats,2023-04-25
138,75,3,So-So,2023-07-01
139,55,6,Fetching Fantastic,2023-04-07
140,75,3,Tail-wagging Good,2023-09-14
141,52,20,Tail-wagging Good,2024-05-18
142,47,3,Needs More Treats,2023-10-17
143,29,8,Fetching Fantastic,2023-04-09
144,18,13,Fetching Fantastic,2023-08-01
145,66,4,Fetching Fantastic,2023-12-29
146,64,19,So-So,2023-11-04
147,12,8,Tail-wagging Good,2024-05-11
148,97,19,Fetching Fantastic,2024-06-28
149,7,20,So-So,2023-05-27
150,15,2,Paw-some,2024-10-24
151,20,20,Needs More Treats,2024-08-09
152,81,3,Tail-wagging Good,2024-05-02
153,21,14,Tail-wagging Good,2024-12-03
154,88,19,Needs More Treats,2023-08-15
155,55,19,Paw-some,2023-09-10
156,77,17,So-So,2024-02-24
157,9,11,Needs More Treats,2024-03-25
158,50,9,So-So,2024-02-26
159,49,7,So-So,2025-01-28
160,77,11,So-So,2024-05-26
161,60,8,Paw-some,2025-02-18
162,68,9,Paw-some,2023-09-02
163,33,13,So-So,2024-07-12
164,71,5,Fetching Fantastic,2024-02-23
165,2,10,Tail-wagging Good,2023-11-15
166,88,15,Paw-some,2025-03-31
167,93,11,Fetching Fantastic,2024-07-18
168,15,3,Fetching Fantastic,2024-09-21
