walk_id,dog_id,walk_date,walk_leader,sniff_spots,potty_breaks,reason_for
1,61,2022-09-11,Private Paws,Snout Street,5,Retraining after squirrel-induced trauma
2,65,2021-06-05,Alpha Woof,Snout Street,2,Scheduled bark-off with neighborhood rivals
3,79,2021-01-15,Lieutenant Lick,Sniffington Ave,2,Protest march for more treats
4,55,2023-08-31,Beta Barker,Snout Street,4,Therapy walk (too many cats at home)
5,29,2020-08-08,Private Paws,Whiff Wharf,4,Daily pee-mail check
6,88,2024-01-25,Lieutenant Lick,Bone Boulevard,3,Practicing ninja stealth mode
7,92,2021-04-27,Lieutenant Lick,Sniffington Ave,0,"Lost a bone, retracing steps"
8,8,2023-05-19,Beta Barker,Snout Street,4,Hoping to meet hot dog at the park
9,40,2021-07-03,Sergeant Sniffer,Bark Park,5,Zoomies needed ASAP
10,66,2025-06-06,Alpha Woof,Tail Trail,4,Pawlitical canvassing
11,69,2020-06-11,Alpha Woof,Sniffington Ave,5,Emotional support stick collecting
12,25,2024-06-20,Private Paws,Whiff Wharf,3,Practicing ninja stealth mode
13,78,2021-12-24,Captain Paw,Hydrant Hill,5,Pawlitical canvassing
14,69,2024-04-05,Captain Paw,Hydrant Hill,3,Emotional support stick collecting
15,28,2021-07-16,Sergeant Sniffer,Hydrant Hill,2,Emergency tail chase training
16,88,2020-08-31,Captain Paw,Sniffington Ave,4,Zoomies needed ASAP
17,15,2025-04-16,Beta Barker,Bark Park,0,Sniffvestigation of a squirrel incident
18,65,2023-06-27,Alpha Woof,Bone Boulevard,1,Needed to scream into the void
19,52,2025-11-08,Sergeant Sniffer,Whiff Wharf,2,Personal time (needed to howl at the moon)
20,16,2025-08-21,Lieutenant Lick,Bark Park,2,Daily pee-mail check
21,71,2021-07-04,Sergeant Sniffer,Bark Park,2,Retraining after squirrel-induced trauma
22,7,2021-06-04,Lieutenant Lick,Bark Park,1,Sniffvestigation of a squirrel incident
23,34,2022-10-24,Private Paws,Hydrant Hill,3,Retraining after squirrel-induced trauma
24,41,2022-04-29,Private Paws,Snout Street,1,Personal time (needed to howl at the moon)
25,44,2023-01-07,Private Paws,Sniffington Ave,3,Needed to scream into the void
26,7,2023-09-06,Alpha Woof,Bone Boulevard,0,Reenacting scenes from Paw & Order
27,58,2021-12-28,Private Paws,Whiff Wharf,0,Practicing ninja stealth mode
28,88,2022-06-14,Private Paws,Bark Park,2,Scheduled bark-off with neighborhood rivals
29,94,2021-06-20,Lieutenant Lick,Bone Boulevard,4,Scheduled bark-off with neighborhood rivals
30,99,2024-07-03,Private Paws,Tail Trail,4,Needed to scream into the void
31,20,2024-10-14,Sergeant Sniffer,Sniffington Ave,1,Scouting for forbidden snacks
32,66,2025-03-01,Captain Paw,Whiff Wharf,2,Zoomies needed ASAP
33,76,2023-08-04,Alpha Woof,Hydrant Hill,1,Scouting for forbidden snacks
34,3,2020-10-15,Captain Paw,Snout Street,4,Reenacting scenes from Paw & Order
35,77,2025-12-08,Private Paws,Hydrant Hill,0,Practicing ninja stealth mode
